time,count,relation,value,units,text_value,comments
0.25 to 45 hrs,1,0,,hr,0.25 - 45,
0-240 min,1,<=,4,hr,,manually converted in hours
0 to inf,,<=,,,infinity,
0 to infinitive,,<=,,,infinity,
0-7 hrs,,<=,7,hr,,
0.083 to 48 hrs,,0,,hr,0.083 - 48,
upto 25 hrs,,<=,25,hr,,
AUC(0 to 8 h),,<=,8,hr,,
upto 12 hrs,,<=,12,hr,,
upto 60 mins,,<=,1,hr,,
AUC(24 hrs),,<=,24,hr,,
up to 360 mins,,<=,6,hr,,
up to 72 hrs,,<=,72,hr,,
up to 1440 mins,,<=,24,hr,,
after 1440 mins,,<=,24,hr,,
0 to 360 min,,<=,6,hr,,
upto 7 hrs,,<=,7,hr,,
upto 48.1 hrs,,<=,48.1,hr,,
0-48 hrs,,<=,48,hr,,
0-24hrs,,<=,24,hr,,
upto 10 hrs,,<=,10,hr,,
up to 1280 mins,,<=,21.33333333,hr,,
up to 96 hrs,,<=,96,hr,,
upto 6 hrs,,<=,6,hr,,
upto 360 mins,,<=,6,hr,,
AUC (0 to 8 hr),,<=,8,hr,,
0.03 to 72 hrs,,0,,hr,0.03 - 72,
0.8 to 24 hrs,,0,,hr,0.8 - 24,
after 1 hrs,,<=,1,hr,,
AUC(0 to 96 hrs),,<=,96,hr,,
AUC(0 to 72 hrs),,<=,72,hr,,
0 to 2 h,,<=,2,hr,,
upto 120 hrs,,<=,120,hr,,
0 to 5 h,,<=,5,hr,,
after 5 mins,,<=,0.083333333,hr,,
AUC(0 to 24),,<=,24,hr,,
AUC (0 to 24h),,<=,24,hr,,
upto 96 hrs,,<=,96,hr,,
